area_type,availability,location,bath,balcony,price,total_sqft,bhk
Super built-up  Area,Ready To Move,Yelahanka,2.0,1.0,60.0,1100.0,2.0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,6.0,0.0,92.0,2100.0,6.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,49.8,995.0,2.0
Plot  Area,Ready To Move,Banashankari Stage II,2.0,1.0,55.0,500.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4.0,3.0,598.0,3526.0,4.0
Super built-up  Area,Ready To Move,Gottigere,2.0,2.0,47.0,1425.0,3.0
Super built-up  Area,Ready To Move,BTM 4th Stage,2.0,2.0,55.0,1455.0,3.0
Super built-up  Area,Ready To Move,Jalahalli West,1.0,1.0,23.0,550.0,1.0
Super built-up  Area,Ready To Move,Uttarahalli,2.0,2.0,48.48,1385.0,3.0
Plot  Area,Ready To Move,Vishveshwarya Layout,4.0,2.0,210.0,7000.0,4.0
Super built-up  Area,Ready To Move,Srinivasa Nagar,3.0,0.0,130.0,4000.0,5.0
Super built-up  Area,18-May,Gollahalli,2.0,1.0,53.0,1060.0,2.0
Super built-up  Area,Ready To Move,AGS Layout,2.0,2.0,75.0,1080.0,3.0
Built-up  Area,Ready To Move,HBR Layout,3.0,2.0,125.0,1783.0,3.0
Super built-up  Area,18-Mar,Haralur Road,2.0,2.0,90.0,1520.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1.0,55.0,1060.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1.0,54.35,1267.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,2.0,55.0,1155.0,2.0
Built-up  Area,Ready To Move,Karuna Nagar,3.0,2.0,180.0,2500.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2.0,1.0,65.0,1240.0,2.0
Super built-up  Area,Ready To Move,Gollahalli,3.0,2.0,78.0,1570.0,3.0
Super built-up  Area,Ready To Move,NGR Layout,2.0,1.0,45.9,1019.0,2.0
Super built-up  Area,Ready To Move,Whitefield,3.0,3.0,76.0,1355.0,2.0
Super built-up  Area,Ready To Move,Arekempanahalli,3.0,2.0,110.0,1537.0,3.0
Super built-up  Area,Ready To Move,Whitefield,5.0,3.0,226.0,4075.0,4.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,3.0,52.45,1550.0,3.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1.0,50.0,1100.0,2.0
Super built-up  Area,Ready To Move, Devarabeesana Halli,3.0,2.0,150.0,1750.0,3.0
Super built-up  Area,18-Mar,9th Phase JP Nagar,2.0,2.0,71.0,1466.0,2.0
Super built-up  Area,Ready To Move,Rachenahalli,3.0,2.0,72.5,1550.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,4.0,3.0,102.0,2300.0,3.0
Super built-up  Area,19-Aug,Kengeri,1.0,1.0,22.5,540.0,1.0
Plot  Area,Ready To Move,8th Phase JP Nagar,3.0,2.0,130.0,950.0,3.0
Built-up  Area,Ready To Move,Chamundi Nagar,7.0,1.0,250.0,2800.0,7.0
Super built-up  Area,Ready To Move,Silk Board,2.0,3.0,48.0,1020.0,2.0
Super built-up  Area,Ready To Move,Cunningham Road,3.0,2.0,501.0,2880.0,3.0
Super built-up  Area,Ready To Move,Hebbal,4.0,2.0,165.0,1987.0,3.0
Super built-up  Area,Ready To Move,Hoodi,2.0,1.0,75.0,1305.0,2.0
Built-up  Area,Ready To Move,Sarjapur,3.0,1.0,125.0,2100.0,4.0
Built-up  Area,18-Dec,Electronic City,2.0,1.0,32.5,1125.0,2.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2.0,2.0,49.5,1225.0,2.0
Super built-up  Area,Ready To Move,Hennur,2.0,1.0,55.5,1255.0,2.0
Super built-up  Area,Ready To Move,MRCR Layout,2.0,1.0,90.0,1191.0,2.0
Plot  Area,Ready To Move,Uttarahalli,6.0,2.0,303.0,3600.0,6.0
Built-up  Area,18-Dec,Electronic City,2.0,1.0,33.64,1165.0,2.0
Super built-up  Area,18-Apr,Kacharakanahalli,2.0,1.0,35.11,865.0,2.0
Super built-up  Area,Ready To Move,Nagarbhavi,2.0,2.0,88.0,1850.0,3.0
Super built-up  Area,Ready To Move,Marsur,1.0,1.0,17.0,497.0,2.0
Super built-up  Area,19-Mar,Hennur Road,2.0,2.0,89.0,1232.0,2.0
Super built-up  Area,21-Nov,Thanisandra,3.0,3.0,85.73,1732.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,1.0,100.0,1614.0,3.0
Built-up  Area,Ready To Move,Magadi Road,1.0,1.0,22.0,600.0,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,4.0,2.0,155.0,2072.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,34.0,919.0,2.0
Built-up  Area,Ready To Move,Shettihalli,4.0,1.0,90.0,2100.0,4.0
Built-up  Area,Ready To Move,Shampura,3.0,1.0,54.0,672.0,4.0
Built-up  Area,Ready To Move,J C Nagar,6.0,3.0,110.0,800.0,8.0
Plot  Area,Ready To Move,Marsur,3.0,1.0,150.0,1200.0,3.0
Super built-up  Area,Ready To Move,OLd Gurappanapalya,5.0,2.0,250.0,2849.0,4.0
Built-up  Area,Ready To Move,Doctors Layout,2.0,2.0,42.0,1000.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,75.0,1216.0,2.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,4.0,2.0,154.0,2245.0,4.0
Super built-up  Area,18-Feb,Bannerghatta Road,3.0,1.0,125.0,1476.0,3.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3.0,2.0,130.0,1852.0,3.0
Super built-up  Area,18-Aug,Udaya Nagar,2.0,2.0,47.0,1225.0,2.0
Super built-up  Area,Ready To Move,Panathur,3.0,1.0,67.12,1597.0,3.0
Super built-up  Area,19-Dec,Jakkur,4.0,3.0,160.0,2423.0,3.0
Super built-up  Area,19-Mar,Marathahalli,2.0,1.0,90.0,1152.0,2.0
Super built-up  Area,Ready To Move,Harlur,3.0,2.0,133.0,1762.0,3.0
Plot  Area,Ready To Move,Kammasandra,3.0,2.0,92.0,1400.0,3.0
Super built-up  Area,Ready To Move,Rachenahalli,2.0,2.0,74.4,1530.0,3.0
Plot  Area,Ready To Move,New Thippasandra,6.0,3.0,400.0,2400.0,6.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,2.0,40.17,1185.0,2.0
Super built-up  Area,18-May,Yelahanka,3.0,2.0,108.0,1890.0,3.0
Super built-up  Area,Ready To Move,Varthur Road,2.0,2.0,58.0,1247.0,3.0
Plot  Area,Ready To Move,1st Block Jayanagar,4.0,2.0,104.0,700.0,8.0
Plot  Area,Ready To Move,HRBR Layout,6.0,3.0,275.0,1000.0,6.0
Super built-up  Area,Ready To Move,Bellandur,2.0,2.0,59.99,1201.0,2.0
Built-up  Area,18-Feb,Gunjur Palya,2.0,2.0,40.0,830.0,2.0
Built-up  Area,18-Jul,Electronic City Phase II,2.0,1.0,30.29,1165.0,2.0
Super built-up  Area,Ready To Move,Bommanahalli,1.0,2.0,55.0,1100.0,2.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,2.0,93.0,1890.0,3.0
Super built-up  Area,Ready To Move,Maithri Layout,3.0,2.0,60.0,1685.0,3.0
Super built-up  Area,Ready To Move,Sarakki Nagar,4.0,3.0,349.0,3131.0,4.0
Super built-up  Area,Ready To Move,Battarahalli,2.0,1.0,43.0,1165.0,2.0
Super built-up  Area,Ready To Move,Kachanayakanahalli,2.0,1.0,45.0,827.0,2.0
Plot  Area,Ready To Move,Gangondanahalli,2.0,0.0,48.0,396.0,3.0
Plot  Area,Ready To Move,Uttarahalli,4.0,3.0,179.0,1200.0,4.0
Built-up  Area,Ready To Move,Electronics City Phase 1,1.0,0.0,26.0,635.0,1.0
Built-up  Area,Ready To Move,Whitefield,4.0,3.0,380.0,4000.0,4.0
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2.0,1.0,50.0,1050.0,2.0
Built-up  Area,Ready To Move,D Group Employees Layout,4.0,3.0,76.0,600.0,5.0
Super built-up  Area,22-May,Jakkur,3.0,2.0,168.0,1819.18,3.0
Plot  Area,Ready To Move,Kanakapura,3.0,3.0,125.0,1500.0,3.0
Super built-up  Area,Ready To Move,Yelenahalli,2.0,2.0,57.0,1500.0,3.0
Super built-up  Area,Ready To Move,Benson Town,4.0,3.0,470.0,2850.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,3.0,72.0,1751.0,3.0
Super built-up  Area,18-Jan,Vasanth nagar,6.0,1.0,1102.0,4750.0,4.0
Super built-up  Area,18-Jun,Bommasandra,2.0,1.0,40.89,1020.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,2.0,1.0,43.5,1148.0,2.0
Super built-up  Area,18-Aug,Talaghattapura,3.0,2.0,135.0,1856.0,3.0
Plot  Area,Ready To Move,Basavangudi,6.0,2.0,650.0,1754.0,6.0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,3.0,2.0,1100.0,4273.0,3.0
Super built-up  Area,Ready To Move,B Narayanapura,2.0,1.0,49.27,1060.0,2.0
Built-up  Area,Ready To Move,Haralur Road,2.0,2.0,60.0,1300.0,2.0
Built-up  Area,Ready To Move,Hormavu,4.0,0.0,100.0,3000.0,4.0
Super built-up  Area,Ready To Move,Bellandur,2.0,2.0,65.0,1325.0,2.0
Super built-up  Area,Ready To Move,Sai Gardens,2.0,2.0,61.0,1261.0,2.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2.0,2.0,46.0,1100.0,2.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2.0,1.0,33.0,700.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,135.0,1675.0,3.0
Plot  Area,Ready To Move,Ullal Road,4.0,2.0,190.0,3400.0,4.0
Super built-up  Area,18-Aug,Kodihalli,5.0,3.0,388.0,3260.0,4.0
Super built-up  Area,Ready To Move,Doddakammanahalli,2.0,2.0,56.0,1180.0,2.0
Built-up  Area,Ready To Move,Uttarahalli,2.0,2.0,45.0,1160.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,2.0,105.0,1863.0,4.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3.0,2.0,149.0,1914.0,3.0
Super built-up  Area,Ready To Move,BTM Layout,3.0,2.0,79.0,1458.0,3.0
Plot  Area,Ready To Move,Thirumenahalli,4.0,2.0,115.0,1200.0,5.0
Built-up  Area,Ready To Move,Babusapalaya,2.0,1.0,40.0,1105.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,5.0,3.0,220.0,3035.0,3.0
Plot  Area,Ready To Move,Bannerghatta Road,6.0,3.0,160.0,1200.0,6.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,2.0,90.0,1662.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,3.0,2.0,86.0,1556.0,3.0
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,50.0,918.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1.0,98.0,1455.0,3.0
Super built-up  Area,Ready To Move,Jakkasandra Extension,2.0,1.0,70.0,1205.0,2.0
Super built-up  Area,Ready To Move,BEML Layout,2.0,1.0,65.0,1194.0,2.0
Plot  Area,Ready To Move,Laggere,2.0,0.0,75.0,1200.0,2.0
Built-up  Area,Ready To Move,Bannerghatta Road,2.0,2.0,52.0,1100.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,2.0,48.87,1405.0,3.0
Super built-up  Area,Ready To Move,Subramanyapura,2.0,1.0,56.0,929.0,2.0
Built-up  Area,Ready To Move,Frazer Town,5.0,2.0,341.0,3436.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,39.33,1035.0,2.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4.0,3.0,92.0,2100.0,4.0
Super built-up  Area,17-Jul,Channasandra,2.0,1.0,40.47,1065.0,2.0
Super built-up  Area,22-Dec,Bannerghatta Road,3.0,0.0,84.29,1532.5,3.0
Plot  Area,Ready To Move,Kengeri,6.0,3.0,150.0,1500.0,6.0
Plot  Area,Ready To Move,Hullahalli,5.0,2.0,99.0,1200.0,5.0
Super built-up  Area,18-Apr,Hormavu,2.0,1.0,32.78,1093.0,2.0
Built-up  Area,Ready To Move,Anandapura,2.0,2.0,45.0,1250.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,3.0,3.0,105.0,1680.0,3.0
Super built-up  Area,Ready To Move,Nagarbhavi,2.0,1.0,50.0,1146.0,2.0
Super built-up  Area,18-Apr,Jagajyothi layout,2.0,3.0,58.0,1250.0,2.0
Super built-up  Area,17-Oct,Ramagondanahalli,3.0,1.0,60.44,1451.0,3.0
Super built-up  Area,Ready To Move,Nobo Nagar,2.0,3.0,55.0,1424.0,3.0
Super built-up  Area,Ready To Move,Gottigere,2.0,3.0,62.0,1435.0,3.0
Super built-up  Area,18-Apr,Devanahalli,1.0,0.0,26.91,658.0,1.0
Super built-up  Area,18-Jan,Bommanahalli,3.0,2.0,45.0,1300.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2.0,2.0,65.0,1242.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,3.0,3.0,119.0,1910.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,4.0,2.0,85.0,1610.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,2.0,1.0,65.0,1127.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,1.0,42.0,1075.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,2.0,1.0,51.0,1155.0,2.0
Plot  Area,Ready To Move,Lakkasandra Extension,3.0,1.0,250.0,1280.0,5.0
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3.0,1.0,55.0,1250.0,3.0
Plot  Area,18-Mar,Kuvempu Layout,4.0,2.0,160.0,2200.0,3.0
Built-up  Area,Ready To Move,Billekahalli,3.0,1.0,150.0,2400.0,3.0
Super built-up  Area,Ready To Move,Chandapura,2.0,2.0,29.5,876.0,2.0
Super built-up  Area,Ready To Move,Nagarbhavi,2.0,2.0,89.0,1850.0,3.0
Super built-up  Area,18-Apr,Kadugodi,2.0,3.0,83.0,1314.0,2.0
Super built-up  Area,20-Aug,Rachenahalli,1.0,1.0,39.8,690.0,1.0
Built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,167.5,3550.0,4.0
Built-up  Area,Ready To Move,Srirampura,2.0,3.0,55.0,1230.0,2.0
Super built-up  Area,18-May,Bommasandra,2.0,1.0,37.2,920.0,2.0
Built-up  Area,Ready To Move,Sarjapur  Road,3.0,3.0,140.0,1850.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,60.0,1073.0,2.0
Super built-up  Area,Ready To Move,Maithri Layout,3.0,3.0,76.0,1540.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,3.0,63.5,1550.0,3.0
Super built-up  Area,Ready To Move,Kalyan nagar,2.0,1.0,65.0,1198.0,2.0
Super built-up  Area,Ready To Move,HBR Layout,3.0,2.0,90.0,1656.0,3.0
Super built-up  Area,Ready To Move,Kaveri Nagar,3.0,3.0,155.0,1900.0,3.0
Built-up  Area,Ready To Move,Ramagondanahalli,3.0,2.0,142.0,1910.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,2.0,1.0,43.0,1003.0,2.0
Built-up  Area,Ready To Move,Chickpet,2.0,0.0,48.0,1098.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,2.0,67.0,1495.0,3.0
Super built-up  Area,19-Dec,Thanisandra,3.0,2.0,76.02,2172.0,3.0
Plot  Area,Ready To Move,Sarakki Nagar,4.0,2.0,358.0,2400.0,4.0
Plot  Area,Ready To Move,T G extension,1.0,2.0,95.0,1200.0,2.0
Super built-up  Area,Ready To Move,Whitefield,3.0,1.0,65.0,1548.0,3.0
Plot  Area,18-Mar,2nd Block Koramangala,5.0,2.0,972.0,5400.0,7.0
Super built-up  Area,18-Dec,Whitefield,5.0,0.0,154.5,2856.0,4.0
Super built-up  Area,18-Jul,Hosur Road,3.0,1.0,103.0,1689.0,3.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1.0,53.0,1031.0,2.0
Super built-up  Area,18-Jul,Bhoganhalli,4.0,2.0,111.0,2119.0,4.0
Plot  Area,18-Dec,Whitefield,2.0,2.0,46.13,1200.0,2.0
Super built-up  Area,Ready To Move,JCR Layout,2.0,2.0,37.0,1060.0,2.0
Super built-up  Area,Ready To Move,Devi Nagar,2.0,1.0,61.0,1100.0,2.0
Plot  Area,Ready To Move,GKW Layout,4.0,2.0,225.0,1350.0,4.0
Plot  Area,Ready To Move,Gandhi Nagar,4.0,1.0,80.0,1050.0,5.0
Super built-up  Area,Ready To Move,Hennur Road,2.0,1.0,77.88,1250.0,3.0
Super built-up  Area,18-May,8th Block Jayanagar,2.0,2.0,110.0,1100.0,2.0
Plot  Area,18-Aug,Whitefield,2.0,1.0,46.13,1200.0,2.0
Super built-up  Area,Ready To Move,Seegehalli,2.0,2.0,46.0,1420.0,3.0
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,78.0,1500.0,3.0
Built-up  Area,Ready To Move,OLd Gurappanapalya,3.0,1.0,155.0,1942.0,3.0
Super built-up  Area,18-Dec,Haralur Road,3.0,2.0,130.0,1985.0,3.0
Super built-up  Area,18-Apr,Sarjapur  Road,1.0,0.0,39.9,950.0,1.0
Plot  Area,Ready To Move,AMS Layout,4.0,2.0,80.0,1200.0,3.0
Super built-up  Area,Ready To Move,Green Glen Layout,3.0,2.0,105.0,1752.0,3.0
Plot  Area,Ready To Move,Abbigere,3.0,2.0,120.0,1200.0,4.0
Plot  Area,Ready To Move,Mahalakshmi Layout,5.0,1.0,200.0,1200.0,5.0
Super built-up  Area,Ready To Move,Old Madras Road,2.0,2.0,84.0,1480.0,3.0
Plot  Area,Ready To Move,Jnana Ganga Nagar,4.0,1.0,81.0,600.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,2.0,130.0,1826.0,3.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,39.33,1035.0,2.0
Built-up  Area,Ready To Move,Sarjapur  Road,4.0,2.0,98.0,2600.0,4.0
Built-up  Area,Ready To Move,Kasavanhalli,3.0,2.0,92.0,1667.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,2.0,2.0,55.0,934.0,2.0
Built-up  Area,Ready To Move,JP Nagar,3.0,1.0,69.34,909.872467,3.0
Super built-up  Area,Ready To Move,Mahadevpura,2.0,1.0,76.0,1620.0,3.0
Super built-up  Area,17-Jun,Electronic City,2.0,1.0,47.0,1070.0,2.0
Built-up  Area,Ready To Move,Hosur Road,5.0,3.0,180.0,3600.0,5.0
Super built-up  Area,18-Apr,Uttarahalli,2.0,2.0,60.0,1280.0,3.0
Super built-up  Area,Ready To Move,rr nagar,2.0,2.0,60.0,1400.0,2.0
Plot  Area,Ready To Move,Vishveshwarya Layout,8.0,2.0,180.0,1200.0,7.0
Built-up  Area,Ready To Move,"Varthur Road, ",2.0,1.0,64.0,1330.0,2.0
Super built-up  Area,19-Dec,Balagere,2.0,1.0,54.59,1012.0,2.0
Super built-up  Area,19-Dec,Electronic City Phase II,2.0,2.0,48.33,1611.0,3.0
Super built-up  Area,Ready To Move,Whitefield,3.0,2.0,58.0,1405.0,3.0
Super built-up  Area,Ready To Move,VGP Layout,3.0,3.0,90.0,1515.0,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,4.0,2.0,150.0,1830.0,3.0
Built-up  Area,Ready To Move,Kaggadasapura,3.0,0.0,60.0,1710.0,3.0
Built-up  Area,Ready To Move,BTM Layout,2.0,1.0,51.5,935.0,2.0
Super built-up  Area,18-Apr,Jakkur,3.0,2.0,136.0,2197.0,3.0
Plot  Area,Ready To Move,TC Palaya,4.0,0.0,65.0,600.0,4.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,2.0,92.13,1678.0,3.0
Built-up  Area,Ready To Move,Brookefield,2.0,0.0,80.0,1410.0,3.0
Super built-up  Area,Ready To Move,Jakkur,2.0,2.0,65.0,1125.0,2.0
Super built-up  Area,Ready To Move,Magadi Road,2.0,1.0,55.38,1191.0,3.0
Super built-up  Area,Ready To Move,Thubarahalli,2.0,2.0,79.0,1200.0,2.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2.0,3.0,67.0,1525.0,3.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3.0,3.0,56.0,1464.0,3.0
Super built-up  Area,18-Dec,Seegehalli,2.0,1.0,27.0,920.0,2.0
Built-up  Area,Ready To Move,Yelahanka,1.0,1.0,17.5,651.0,1.0
Super built-up  Area,Ready To Move,Chikkabanavar,1.0,2.0,25.0,600.0,2.0
Super built-up  Area,18-Sep,Chandapura,1.0,1.0,16.45,645.0,1.0
Super built-up  Area,Ready To Move,Thanisandra,2.0,2.0,44.0,1185.0,2.0
Super built-up  Area,18-May,Electronics City Phase 1,2.0,1.0,68.0,1190.0,2.0
Plot  Area,Ready To Move,Harohalli,2.0,0.0,200.0,91040.4,2.0
Super built-up  Area,18-Dec,Whitefield,5.0,0.0,158.5,2856.0,4.0
Super built-up  Area,Ready To Move,Whitefield,2.0,3.0,73.0,1355.0,2.0
Plot  Area,Ready To Move,KR Puram,1.0,0.0,65.0,1200.0,2.0
Plot  Area,Ready To Move,Kundalahalli,4.0,3.0,550.0,7000.0,4.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4.0,1.0,110.0,1200.0,6.0
Super built-up  Area,Ready To Move,Yelahanka New Town,2.0,1.0,24.0,500.0,1.0
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3.0,3.0,50.0,1250.0,3.0
Built-up  Area,Ready To Move,Uttarahalli,2.0,1.0,58.0,1480.0,3.0
Built-up  Area,Ready To Move,Ambalipura,4.0,2.0,329.0,3300.0,4.0
Super built-up  Area,18-May,KR Puram,2.0,2.0,70.445,1583.0,3.0
Super built-up  Area,Ready To Move,Green Woods Layout,2.0,1.0,53.0,1206.0,2.0
Super built-up  Area,18-Aug,Rajaji Nagar,2.0,1.0,130.0,1357.0,2.0
Built-up  Area,Ready To Move,Hosakerehalli,2.0,1.0,46.5,925.0,2.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,40.9,909.0,2.0
Plot  Area,Ready To Move,Seegehalli,5.0,2.0,335.0,3000.0,3.0
Built-up  Area,Ready To Move,Brookefield,2.0,1.0,55.0,1100.0,2.0
Plot  Area,18-May,Malleshwaram,5.0,2.0,815.0,3000.0,4.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2.0,1.0,54.0,1100.0,2.0
Super built-up  Area,Ready To Move,Subramanyapura,2.0,1.0,65.0,975.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,2.0,44.17,1306.0,2.0
Plot  Area,Ready To Move,Roopena Agrahara,4.0,1.0,95.0,1200.0,4.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1.0,1.0,39.0,610.0,1.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,2.0,56.4,1484.0,3.0
Super built-up  Area,17-May,Ramamurthy Nagar,2.0,1.0,47.0,1125.0,2.0
Super built-up  Area,18-Jul,Bhoganhalli,2.0,1.0,75.97,1447.0,2.0
Super built-up  Area,18-Dec,Whitefield,5.0,1.0,158.0,2882.0,4.0
Plot  Area,Ready To Move,Vidyaranyapura,4.0,0.0,88.0,750.0,4.0
Super built-up  Area,Ready To Move,Kundalahalli,3.0,1.0,115.0,2075.0,3.0
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,2.0,1.0,58.0,1250.0,2.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2.0,2.0,51.5,1272.0,2.0
Plot  Area,Ready To Move,Banashankari Stage II,3.0,2.0,125.0,1050.0,4.0
Super built-up  Area,18-Aug,Venkateshpuram,2.0,1.0,24.0,625.0,2.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,2.0,50.0,840.0,1.0
Super built-up  Area,Ready To Move,Hennur Road,4.0,2.0,180.0,2502.0,4.0
Super built-up  Area,Ready To Move,Rayasandra,1.0,1.0,26.9,583.0,1.0
Super built-up  Area,18-Dec,Gunjur Palya,2.0,1.0,27.0,900.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,2.0,50.0,1115.0,2.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2.0,2.0,56.0,1464.0,2.0
Built-up  Area,18-Mar,Kanakapura,3.0,1.0,121.0,2200.0,3.0
Super built-up  Area,19-Dec,Whitefield,1.0,1.0,51.0,750.0,1.0
Super built-up  Area,Ready To Move,Marathahalli,3.0,3.0,58.0,1600.0,3.0
Super built-up  Area,Ready To Move,Chikkalasandra,2.0,2.0,49.0,1365.0,3.0
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3.0,2.0,64.0,1300.0,3.0
Built-up  Area,Ready To Move,Kurubarahalli,1.0,0.0,69.0,1200.0,1.0
Super built-up  Area,Ready To Move,Hormavu,2.0,2.0,35.0,1260.0,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,2.0,33.92,1190.0,2.0
Super built-up  Area,Ready To Move,Hosakerehalli,4.0,1.0,260.0,2480.0,3.0
Super built-up  Area,18-May,Vishwapriya Layout,3.0,2.0,38.0,1250.0,3.0
Built-up  Area,Ready To Move,Kaggadasapura,3.0,0.0,75.0,1500.0,3.0
Super built-up  Area,Ready To Move,Banashankari Stage V,3.0,3.0,47.57,1510.0,3.0
Super built-up  Area,19-Jan,7th Phase JP Nagar,2.0,1.0,59.0,1187.0,2.0
Super built-up  Area,Ready To Move,Kundalahalli,2.0,1.0,53.76,1120.0,2.0
Super built-up  Area,20-Dec,Whitefield,2.0,0.0,34.555,1115.0,2.0
Super built-up  Area,Ready To Move,Dodsworth Layout,3.0,3.0,99.0,1717.0,3.0
Built-up  Area,Ready To Move,Mullur,3.0,2.0,95.0,2099.0,3.0
Super built-up  Area,Ready To Move,Kasturi Nagar,2.0,2.0,58.0,1100.0,2.0
Plot  Area,Ready To Move,Hegganahalli,1.0,0.0,48.0,1200.0,1.0
Built-up  Area,Ready To Move,Bannerghatta Road,2.0,1.0,45.87,1465.0,3.0
Plot  Area,Ready To Move,Kothanur,1.0,0.0,75.0,1500.0,1.0
Plot  Area,Ready To Move,Prashanth Nagar,4.0,1.0,600.0,4050.0,5.0
Super built-up  Area,Ready To Move,Haralur Road,2.0,1.0,90.0,1255.0,3.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,3.0,88.0,1220.0,2.0
Built-up  Area,18-Aug,Electronic City Phase II,2.0,1.0,30.88,1065.0,2.0
Built-up  Area,Ready To Move,Sultan Palaya,3.0,3.0,80.0,1765.0,3.0
Super built-up  Area,Ready To Move,Bellandur,2.0,2.0,87.0,1281.0,2.0
Super built-up  Area,Ready To Move,Electronic City,2.0,2.0,25.0,1210.0,2.0
Carpet  Area,Ready To Move,Kaggadasapura,2.0,3.0,43.0,1215.0,2.0
Plot  Area,Ready To Move,Ananth Nagar,3.0,1.0,87.0,1200.0,4.0
Super built-up  Area,Ready To Move,Mysore Road,2.0,2.0,73.0,1237.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,1.0,70.0,1300.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,2.0,39.99,1105.0,2.0
Super built-up  Area,Ready To Move,Chandapura,2.0,2.0,42.0,1505.0,3.0
